filename,branch_name,branch_type,compressor,compressed_bytes,uncompressed_bytes,compression_ratio
DAOD_PHYSLITE.37019878._000001.pool.root.1,AnalysisTrigMatch_HLT_e24_lhtight_nod0_iloose,DataVector<xAOD::TrigComposite_v1>,ZSTD(5),28573,250680,8.773317467539286
DAOD_PHYSLITE.37019878._000001.pool.root.1,AnalysisTrigMatch_HLT_e24_lhtight_nod0_ivarloose,DataVector<xAOD::TrigComposite_v1>,ZSTD(5),28687,250764,8.741381113396312
DAOD_PHYSLITE.37019878._000001.pool.root.1,AnalysisTrigMatch_HLT_e24_lhvloose_nod0_L1EM18VH,DataVector<xAOD::TrigComposite_v1>,ZSTD(5),28687,250764,8.741381113396312
DAOD_PHYSLITE.37019878._000001.pool.root.1,AnalysisTrigMatch_HLT_e24_medium_L1EM20VHI_mu8noL1,DataVector<xAOD::TrigComposite_v1>,ZSTD(5),28812,250820,8.705400527557963
DAOD_PHYSLITE.37019878._000001.pool.root.1,AnalysisTrigMatch_HLT_e24_medium_iloose_L1EM20VH,DataVector<xAOD::TrigComposite_v1>,ZSTD(5),28687,250764,8.741381113396312
DAOD_PHYSLITE.37019878._000001.pool.root.1,AnalysisTrigMatch_HLT_e26_lhmedium_L1EM22VHI_mu8noL1,DataVector<xAOD::TrigComposite_v1>,ZSTD(5),28780,250876,8.717025712300208
DAOD_PHYSLITE.37019878._000001.pool.root.1,AnalysisTrigMatch_HLT_e26_lhmedium_nod0_L1EM22VHI_mu8noL1,DataVector<xAOD::TrigComposite_v1>,ZSTD(5),28919,251016,8.679968187005084
DAOD_PHYSLITE.37019878._000001.pool.root.1,AnalysisTrigMatch_HLT_e26_lhtight_cutd0dphideta_ivarloose,DataVector<xAOD::TrigComposite_v1>,ZSTD(5),28919,251016,8.679968187005084
DAOD_PHYSLITE.37019878._000001.pool.root.1,AnalysisTrigMatch_HLT_e26_lhtight_iloose,DataVector<xAOD::TrigComposite_v1>,ZSTD(5),28482,250540,8.796432834772839
DAOD_PHYSLITE.37019878._000001.pool.root.1,AnalysisTrigMatch_HLT_e26_lhtight_ivarloose,DataVector<xAOD::TrigComposite_v1>,ZSTD(5),28518,250624,8.788274072515604
