Compressor,Iterations,DataName,Precision,CompressionLevel,ErrorBoundMode,Algo,InterpAlgo,CompressionTimeMS,DecompressionTimeMS,CompressionRatio,CompressedDataSize,OriginalDataSize
SZ,5,mini-largeRjet_E,3,-1,1,4,1,1,1.3905462857794e-310,1.1343298722565593,276022,313100
Trunk,5,mini-largeRjet_m,3,9,-1,-1,-1,70.2,1,1.8703703703703705,167400,313100
SZ,5,mini-largeRjet_m,3,-1,1,0,0,21.2,15,3.298845246122724,94912,313100
SZ,5,mini-largeRjet_m,3,-1,1,0,1,20,15.4,3.298845246122724,94912,313100
SZ,5,mini-largeRjet_m,3,-1,1,1,0,23.4,7.4,3.0922845968474695,101252,313100
SZ,5,mini-largeRjet_m,3,-1,1,1,1,23,7.2,3.0922845968474695,101252,313100
SZ,5,mini-largeRjet_m,3,-1,1,2,0,8.8,7,3.0922845968474695,101252,313100
SZ,5,mini-largeRjet_m,3,-1,1,2,1,8,7,3.0570201132591293,102420,313100
SZ,5,mini-largeRjet_m,3,-1,1,3,0,6,5,3.9070104070478426,80138,313100
SZ,5,mini-largeRjet_m,3,-1,1,3,1,6.2,5,3.9070104070478426,80138,313100
SZ,5,mini-largeRjet_m,3,-1,1,4,0,3.4,1.3906054692386e-310,1.12409571508069,278535,313100
SZ,5,mini-largeRjet_m,3,-1,1,4,1,3.2,1.3906064750794e-310,1.12409571508069,278535,313100
Trunk,5,mini-largeRjet_truthMatched,3,9,-1,-1,-1,33.8,0,36.18816458622284,8652,313100
SZ,5,mini-largeRjet_truthMatched,3,-1,1,0,0,20.4,11.2,8.419156202102773,37189,313100
SZ,5,mini-largeRjet_truthMatched,3,-1,1,0,1,19.8,11.6,8.419156202102773,37189,313100
SZ,5,mini-largeRjet_truthMatched,3,-1,1,1,0,19.8,1,47.79422988856663,6551,313100
SZ,5,mini-largeRjet_truthMatched,3,-1,1,1,1,19.4,1,47.79422988856663,6551,313100
SZ,5,mini-largeRjet_truthMatched,3,-1,1,2,0,7.4,2,23.683812405446293,13220,313100
SZ,5,mini-largeRjet_truthMatched,3,-1,1,2,1,7.6,2.2,15.070998796630565,20775,313100
SZ,5,mini-largeRjet_truthMatched,3,-1,1,3,0,4.2,1,55.435552407932015,5648,313100
SZ,5,mini-largeRjet_truthMatched,3,-1,1,3,1,5,1,55.435552407932015,5648,313100
SZ,5,mini-largeRjet_truthMatched,3,-1,1,4,0,1.3886257887905e-310,1.3905060607875e-310,20.780513705448996,15067,313100
